CustomerID,LastPurchaseDate,RecencyDays,Churn
12345,14-12-2020,16,0
12346,03-10-2020,88,0
12347,13-12-2020,17,0
12348,12-12-2020,18,0
12349,18-12-2020,12,0
12350,29-12-2020,1,0
12351,21-12-2020,9,0
12352,21-12-2020,9,0
12353,28-10-2020,63,0
12354,13-11-2020,47,0
12355,18-12-2020,12,0
12356,16-12-2020,14,0
12357,28-12-2020,2,0
12358,13-12-2020,17,0
12359,29-12-2020,1,0
12360,28-12-2020,2,0
12361,25-12-2020,5,0
12362,12-11-2020,48,0
12363,24-11-2020,36,0
12364,19-12-2020,11,0
12365,24-12-2020,6,0
12366,19-12-2020,11,0
12367,27-12-2020,3,0
12368,09-12-2020,21,0
12369,23-12-2020,7,0
12370,17-12-2020,13,0
12371,29-10-2020,62,0
12372,24-12-2020,6,0
12373,29-11-2020,31,0
12374,23-11-2020,37,0
12375,03-12-2020,27,0
12376,03-12-2020,27,0
12377,21-12-2020,9,0
12378,28-12-2020,2,0
12379,04-12-2020,26,0
12380,23-12-2020,7,0
12381,01-12-2020,29,0
12382,25-12-2020,5,0
12383,15-12-2020,15,0
12384,04-12-2020,26,0
12385,06-12-2020,24,0
12386,16-11-2020,44,0
12387,02-12-2020,28,0
12388,08-12-2020,22,0
12389,01-11-2020,59,0
12390,25-12-2020,5,0
12391,27-12-2020,3,0
12392,30-12-2020,0,0
12393,27-12-2020,3,0
12394,30-12-2020,0,0
12395,19-11-2020,41,0
12396,14-11-2020,46,0
12397,25-11-2020,35,0
12398,24-12-2020,6,0
12399,17-12-2020,13,0
12400,15-12-2020,15,0
12401,23-11-2020,37,0
12402,10-12-2020,20,0
12403,18-12-2020,12,0
12404,25-12-2020,5,0
12405,25-11-2020,35,0
12406,08-12-2020,22,0
12407,18-12-2020,12,0
12408,24-11-2020,36,0
12409,30-09-2020,91,1
12410,09-12-2020,21,0
12411,06-09-2020,115,1
12412,11-12-2020,19,0
12413,06-11-2020,54,0
12414,24-12-2020,6,0
12415,27-12-2020,3,0
12416,06-11-2020,54,0
12417,11-12-2020,19,0
12418,15-12-2020,15,0
12419,16-12-2020,14,0
12420,23-12-2020,7,0
12421,18-12-2020,12,0
12422,05-12-2020,25,0
12423,10-09-2020,111,1
12424,12-12-2020,18,0
12425,07-12-2020,23,0
12426,29-12-2020,1,0
12427,29-11-2020,31,0
12428,30-10-2020,61,0
12429,19-12-2020,11,0
12430,29-11-2020,31,0
12431,23-12-2020,7,0
12432,07-11-2020,53,0
12433,16-12-2020,14,0
12434,30-12-2020,0,0
12435,17-12-2020,13,0
12436,27-11-2020,33,0
12437,30-12-2020,0,0
12438,25-12-2020,5,0
12439,14-10-2020,77,0
12440,22-12-2020,8,0
12441,29-12-2020,1,0
12442,13-11-2020,47,0
12443,10-11-2020,50,0
12444,02-12-2020,28,0
12445,26-11-2020,34,0
12446,16-12-2020,14,0
12447,28-10-2020,63,0
12448,23-12-2020,7,0
12449,25-12-2020,5,0
12450,13-11-2020,47,0
12451,17-12-2020,13,0
12452,15-11-2020,45,0
12453,18-12-2020,12,0
12454,17-11-2020,43,0
12455,16-12-2020,14,0
12456,09-12-2020,21,0
12457,28-12-2020,2,0
12458,09-12-2020,21,0
12459,29-12-2020,1,0
12460,30-12-2020,0,0
12461,22-12-2020,8,0
12462,09-10-2020,82,0
12463,09-12-2020,21,0
12464,27-11-2020,33,0
12465,24-12-2020,6,0
12466,22-11-2020,38,0
12467,06-12-2020,24,0
12468,28-11-2020,32,0
12469,06-11-2020,54,0
12470,05-12-2020,25,0
12471,25-12-2020,5,0
12472,29-11-2020,31,0
12473,13-12-2020,17,0
12474,20-11-2020,40,0
12475,28-12-2020,2,0
12476,28-11-2020,32,0
12477,08-12-2020,22,0
12478,10-12-2020,20,0
12479,02-12-2020,28,0
12480,27-12-2020,3,0
12481,15-12-2020,15,0
12482,27-12-2020,3,0
12483,22-12-2020,8,0
12484,21-09-2020,100,1
12485,02-12-2020,28,0
12486,29-12-2020,1,0
12487,30-12-2020,0,0
12488,25-12-2020,5,0
12489,04-12-2020,26,0
12490,21-12-2020,9,0
12491,21-12-2020,9,0
12492,24-12-2020,6,0
12493,25-12-2020,5,0
12494,06-11-2020,54,0
12495,29-12-2020,1,0
12496,19-12-2020,11,0
12497,10-12-2020,20,0
12498,10-12-2020,20,0
12499,23-12-2020,7,0
12500,21-12-2020,9,0
12501,28-12-2020,2,0
12502,15-12-2020,15,0
12503,16-11-2020,44,0
12504,07-11-2020,53,0
12505,20-12-2020,10,0
12506,07-11-2020,53,0
12507,27-12-2020,3,0
12508,29-12-2020,1,0
12509,30-12-2020,0,0
12510,23-12-2020,7,0
12511,09-11-2020,51,0
12512,28-12-2020,2,0
12513,23-11-2020,37,0
12514,22-12-2020,8,0
12515,27-12-2020,3,0
12516,29-12-2020,1,0
12517,22-12-2020,8,0
12518,08-11-2020,52,0
12519,30-12-2020,0,0
12520,26-10-2020,65,0
12521,02-12-2020,28,0
12522,30-11-2020,30,0
12523,08-11-2020,52,0
12524,28-12-2020,2,0
12525,02-12-2020,28,0
12526,20-12-2020,10,0
12527,11-12-2020,19,0
12528,07-12-2020,23,0
12529,30-12-2020,0,0
12530,15-11-2020,45,0
12531,08-10-2020,83,0
12532,08-12-2020,22,0
12533,30-11-2020,30,0
12534,12-10-2020,79,0
12535,26-12-2020,4,0
12536,13-12-2020,17,0
12537,02-12-2020,28,0
12538,27-11-2020,33,0
12539,17-11-2020,43,0
12540,20-11-2020,40,0
12541,30-11-2020,30,0
12542,16-12-2020,14,0
12543,27-12-2020,3,0
12544,21-11-2020,39,0
12545,19-12-2020,11,0
12546,22-12-2020,8,0
12547,13-11-2020,47,0
12548,17-11-2020,43,0
12549,27-11-2020,33,0
12550,14-12-2020,16,0
12551,16-12-2020,14,0
12552,01-12-2020,29,0
12553,22-08-2020,130,1
12554,11-12-2020,19,0
12555,24-12-2020,6,0
12556,07-12-2020,23,0
12557,14-12-2020,16,0
12558,25-12-2020,5,0
12559,07-11-2020,53,0
12560,04-11-2020,56,0
12561,27-12-2020,3,0
12562,29-12-2020,1,0
12563,17-12-2020,13,0
12564,14-12-2020,16,0
12565,21-11-2020,39,0
12566,08-08-2020,144,1
12567,27-12-2020,3,0
12568,10-12-2020,20,0
12569,24-12-2020,6,0
12570,08-12-2020,22,0
12571,29-12-2020,1,0
12572,12-12-2020,18,0
12573,29-12-2020,1,0
12574,20-12-2020,10,0
12575,28-12-2020,2,0
12576,10-12-2020,20,0
12577,17-12-2020,13,0
12578,12-12-2020,18,0
12579,06-12-2020,24,0
12580,22-07-2020,161,1
12581,11-12-2020,19,0
12582,13-12-2020,17,0
12583,28-12-2020,2,0
12584,30-12-2020,0,0
12585,30-11-2020,30,0
12586,07-11-2020,53,0
12587,20-12-2020,10,0
12588,13-12-2020,17,0
12589,30-12-2020,0,0
12590,09-12-2020,21,0
12591,16-11-2020,44,0
12592,24-12-2020,6,0
12593,18-12-2020,12,0
12594,29-12-2020,1,0
12595,13-12-2020,17,0
12596,07-12-2020,23,0
12597,03-11-2020,57,0
12598,26-11-2020,34,0
12599,29-12-2020,1,0
12600,30-12-2020,0,0
12601,01-11-2020,59,0
12602,10-12-2020,20,0
12603,09-12-2020,21,0
12604,05-12-2020,25,0
12605,27-12-2020,3,0
12606,21-12-2020,9,0
12607,23-12-2020,7,0
12608,23-11-2020,37,0
12609,18-12-2020,12,0
12610,14-12-2020,16,0
12611,22-12-2020,8,0
12612,30-11-2020,30,0
12613,26-12-2020,4,0
12614,19-12-2020,11,0
12615,28-12-2020,2,0
12616,25-10-2020,66,0
12617,12-11-2020,48,0
12618,23-12-2020,7,0
12619,26-12-2020,4,0
12620,03-11-2020,57,0
12621,10-11-2020,50,0
12622,16-12-2020,14,0
12623,13-12-2020,17,0
12624,10-12-2020,20,0
12625,04-12-2020,26,0
