CustomerID,Recency,Frequency,Monetary,Cluster
12345,16,24,2207.03,2
12346,88,30,2707.68,3
12347,17,29,2905.71,0
12348,18,29,2836.98,0
12349,12,33,3359.74,0
12350,1,28,2685.18,0
12351,9,39,3492.48,1
12352,9,42,4823.55,1
12353,63,27,2272.84,3
12354,47,33,3566.83,1
12355,12,32,3462.51,0
12356,14,25,1969.1699999999998,2
12357,2,39,3824.22,1
12358,17,20,2183.14,2
12359,1,45,4848.5199999999995,1
12360,2,29,2901.75,0
12361,5,31,3285.1800000000003,0
12362,48,28,2576.91,3
12363,36,40,3465.77,1
12364,11,26,2421.33,2
12365,6,39,3773.98,1
12366,11,24,1306.03,2
12367,3,24,2325.29,2
12368,21,27,2280.26,2
12369,7,30,3634.5,0
12370,13,30,3040.37,0
12371,62,33,3647.05,1
12372,6,37,3812.78,1
12373,31,29,2468.77,0
12374,37,22,2251.12,2
12375,27,33,3790.78,1
12376,27,30,3077.0699999999997,0
12377,9,31,2977.63,0
12378,2,28,3209.8,0
12379,26,29,2468.68,0
12380,7,31,3127.63,0
12381,29,33,3307.15,0
12382,5,32,3323.95,0
12383,15,27,2861.79,0
12384,26,29,2322.04,2
12385,24,31,2880.81,0
12386,44,17,1226.51,2
12387,28,25,2192.48,2
12388,22,31,3045.87,0
12389,59,36,3426.42,1
12390,5,35,2692.89,0
12391,3,31,2981.88,0
12392,0,44,4002.66,1
12393,3,39,2531.43,0
12394,0,28,2305.88,2
12395,41,40,3745.0,1
12396,46,19,1795.73,2
12397,35,32,3736.4500000000003,1
12398,6,32,3295.97,0
12399,13,31,3141.09,0
12400,15,27,2133.75,2
12401,37,20,2133.66,2
12402,20,26,2932.94,0
12403,12,28,2064.86,2
12404,5,31,1689.74,2
12405,35,32,2878.27,0
12406,22,31,2935.43,0
12407,12,27,3676.65,0
12408,36,21,1856.87,2
12409,91,36,3534.53,3
12410,21,22,2223.92,2
12411,115,32,2710.49,3
12412,19,38,4226.54,1
12413,54,29,2250.9,3
12414,6,25,2965.09,0
12415,3,29,2107.61,2
12416,54,30,2445.98,3
12417,19,28,2874.29,0
12418,15,27,2652.79,0
12419,14,31,3638.82,0
12420,7,25,2611.45,2
12421,12,36,3138.37,1
12422,25,32,2475.29,0
12423,111,24,1907.78,3
12424,18,32,3414.54,0
12425,23,33,3814.7400000000002,1
12426,1,32,2761.2400000000002,0
12427,31,33,2943.44,0
12428,61,32,2875.52,3
12429,11,35,2867.75,0
12430,31,34,3842.7599999999998,1
12431,7,27,2431.31,2
12432,53,36,3753.23,1
12433,14,30,2909.74,0
12434,0,38,3888.95,1
